Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR
23/01/2026 19:07:28;69;-52;-55;0;100.0
23/01/2026 19:07:29;70;-52;-55;0;100.0
23/01/2026 19:07:30;71;-52;-55;0;100.0
23/01/2026 19:07:31;72;-52;-55;0;100.0
23/01/2026 19:07:32;73;-52;-55;0;100.0
23/01/2026 19:07:33;74;-52;-55;0;100.0
23/01/2026 19:07:34;75;-52;-55;0;100.0
23/01/2026 19:07:35;76;-52;-55;0;100.0
23/01/2026 19:07:36;77;-52;-55;0;100.0
23/01/2026 19:07:37;78;-52;-55;0;100.0
23/01/2026 19:07:38;79;-52;-55;0;100.0
23/01/2026 19:07:39;80;-52;-55;0;100.0
23/01/2026 19:07:40;81;-52;-55;0;100.0
23/01/2026 19:07:41;82;-52;-55;0;100.0
23/01/2026 19:07:42;83;-52;-55;0;100.0
23/01/2026 19:07:43;84;-52;-55;0;100.0
23/01/2026 19:07:44;85;-52;-55;0;100.0
23/01/2026 19:07:45;86;-52;-55;0;100.0
23/01/2026 19:07:46;87;-52;-55;0;100.0
23/01/2026 19:07:47;88;-52;-55;0;100.0
23/01/2026 19:07:48;89;-52;-55;0;100.0
23/01/2026 19:07:49;90;-52;-55;0;100.0
23/01/2026 19:07:50;91;-52;-55;0;100.0
23/01/2026 19:07:51;92;-52;-55;0;100.0
23/01/2026 19:07:52;93;-52;-55;0;100.0
23/01/2026 19:07:53;94;-52;-55;0;100.0
23/01/2026 19:07:54;95;-52;-55;0;100.0
23/01/2026 19:07:55;96;-52;-55;0;100.0
23/01/2026 19:07:56;97;-52;-55;0;100.0
23/01/2026 19:07:57;98;-52;-55;0;100.0
23/01/2026 19:07:58;99;-52;-55;0;100.0
23/01/2026 19:07:59;100;-52;-55;0;100.0
23/01/2026 19:08:00;101;-52;-55;0;100.0
23/01/2026 19:08:01;102;-52;-55;0;100.0
23/01/2026 19:08:02;103;-52;-55;0;100.0
23/01/2026 19:08:03;104;-52;-55;0;100.0
23/01/2026 19:08:04;105;-52;-55;0;100.0
23/01/2026 19:08:05;106;-52;-55;0;100.0
23/01/2026 19:08:06;107;-52;-55;0;100.0
23/01/2026 19:08:07;108;-52;-55;0;100.0
23/01/2026 19:08:08;109;-52;-55;0;100.0
23/01/2026 19:08:09;110;-52;-55;0;100.0
23/01/2026 19:08:10;111;-52;-55;0;100.0
23/01/2026 19:08:11;112;-52;-55;0;100.0
23/01/2026 19:08:12;113;-52;-55;0;100.0
23/01/2026 19:08:13;114;-52;-55;0;100.0
23/01/2026 19:08:14;115;-52;-55;0;100.0
23/01/2026 19:08:15;116;-52;-55;0;100.0
23/01/2026 19:08:16;117;-52;-55;0;100.0
23/01/2026 19:08:17;118;-52;-55;0;100.0
23/01/2026 19:08:18;119;-52;-55;0;100.0
23/01/2026 19:08:19;120;-52;-55;0;100.0
23/01/2026 19:08:20;121;-52;-55;0;100.0
23/01/2026 19:08:21;122;-52;-55;0;100.0
23/01/2026 19:08:22;123;-52;-55;0;100.0
23/01/2026 19:08:23;124;-52;-55;0;100.0
23/01/2026 19:08:24;125;-52;-55;0;100.0
23/01/2026 19:08:25;126;-52;-55;0;100.0
23/01/2026 19:08:26;127;-52;-55;0;100.0
